Token,Annotation
cell,P-Condition
administration.,P-Condition
We,0
included,0
a,0
history,0
of,0
PPH,0
in,0
our,0
search,0
criteria,0
to,0
prevent,0
missing,0
potential,0
patients,0
with,0
incomplete,0
documentation.,0
For,0
our,0
final,0
detailed,0
"analysis,",0
we,0
only,0
included,0
patients,0
with,0
a,0
PPH,0
for,0
the,0
current,0
delivery.,0
We,0
specifically,0
chose,0
a,0
year,0
before,0
PPH,0
guideline,0
development,0
(2011),0
and,0
effectively,0
chose,0
the,0
first,0
year,0
after,0
guideline,0
update,0
as,0
well,0
as,0
with,0
updated,0
Swiss,0
anemia,0
guidelines,0
in,0
place,0
(2018),0
[21].,0
Patients,0
who,0
delivered,0
in,0
an,0
external,0
hospital,0
and,0
were,0
transferred,0
postpartum,0
to,0
our,0
tertiary,0
care,0
hospital,0
for,0
the,0
treatment,0
of,0
PPH,0
were,0
also,0
included.,0
In,0
"addition,",0
we,0
identified,0
patients,0
for,0
whom,0
transfusion,0
products,0
were,0
ordered,0
at,0
the,0
Central,0
Hematology,0
Laboratory,0
at,0
our,0
hospital,0
during,0
the,0
immediate,0
peripartum,0
period,0
or,0
hospitalization,0
after,0
delivery.,0
The,0
amount,0
of,0
transfusion,I-Surgical
products,I-Surgical
received,0
was,0
retrieved,0
from,0
the,0
patient,0
records,0
and,0
used,0
for,0
analysis.,0
"Demographic,",0
"pre-,",0
"peri-,",0
and,0
postpartum,0
data,0
were,0
collected,0
using,0
the,0
departmental,0
"database,",0
which,0
included,0
patient,0
"history,",0
laboratory,0
"records,",0
medical,0
"records,",0
histology,0
"records,",0
"imaging,",0
and,0
administrative,0
data.,0
We,0
specifically,0
examined,0
pregnancy,0
history,0
and,0
parameters,0
related,0
to,0
PPH.,0
Regarding,0
risk,0
factors,0
for,0
"PPH,",0
we,0
focused,0
on,0
those,0
with,0
an,0
odds,0
ratio,0
of,0
more,0
than,0
three,0
according,0
to,0
the,0
Association,0
of,0
Scientific,0
Medical,0
Societies,0
in,0
Germany,0
(AWMF),0
guidelines,0
[6].,0
This,0
included,0
previous,P-Condition
"PPH,",P-Condition
preeclampsia,P-Condition
"(PE),",P-Condition
HELLP,P-Condition
syndrome,P-Condition
(hemol-,P-Condition
"ysis,",P-Condition
elevated,P-Condition
liver,P-Condition
"enzymes,",P-Condition
low,P-Condition
platelet,P-Condition
"count),",P-Condition
placental,P-Condition
"abruption,",P-Condition
prolonged,P-Condition
"labor,",P-Condition
placenta,P-Condition
"previa,",P-Condition
"increta,",P-Condition
"percreta,",P-Condition
and,P-Condition
accreta.,P-Condition
2.3.,0
PPH,0
Treatment,0
Regarding,0
treatment,0
for,0
"PPH,",0
we,0
examined,0
acute,0
(within,0
24,0
h,0
postpartum),0
and,0
subacute,0
(more,0
than,0
24,0
h,0
postpartum,0
but,0
before,0
hospital,0
discharge,0
after,0
delivery),0
blood,P-Condition
"loss,",P-Condition
transfused,0
units,0
of,0
"RBC,",0
"PC,",0
"FFP,",0
medical,0
treatment,0
of,0
PPH,0
(including,0
administration,0
of,0
"uterotonics,",0
tranexamic,0
"acid,",0
"fibrinogen,",0
and,0
clotting,0
"factors),",0
and,0
surgical,0
procedures,0
(including,0
use,0
of,0
vaginal,0
"tamponade,",0
Bakri,0
Balloon,0
"insertion,",0
artery,0
"embolization,",0
"sutures,",0
and,0
hysterectomy).,0
"Additionally,",0
we,0
examined,0
hemoglobin,P-Condition
levels,P-Condition
during,P-Condition
"pregnancy,",P-Condition
during,0
the,0
peripartal,0
"period,",0
and,0
before,0
discharge,0
after,0
delivery.,0
In,0
2011,0
and,0
"2018,",0
we,0
routinely,0
administered,0
5IU,0
oxytocin,P-Condition
intravenously,P-Condition
after,0
sponta-,0
neous,0
vaginal,0
delivery,0
(SVD),0
as,0
well,0
as,0
instrumental,0
vaginal,0
delivery,0
"(IVD),",0
and,0
100,I-Drug
mcg,I-Drug
carbetocin,I-Drug
intravenously,I-Drug
after,0
CS,0
for,0
uterine,0
atony,0
prophylaxis.,0
In,0
the,0
case,0
of,0
"PPH,",0
we,0
followed,0
the,0
standardized,0
interdisciplinary,0
PPH,0
guidelines,0
in,0
2018,0
[6].,0
"Furthermore,",0
treat-,0
ment,0
with,0
tranexamic,0
acid,I-Drug
was,0
administered,0
earlier,0
in,0
2018,0
for,0
"PPH,",0
based,0
on,0
the,0
results,0
of,0
the,0
WOMAN,0
trial,0
"[22,23].",0
2.4.,0
Statistical,0
Analysis,0
Statistical,0
analyses,0
were,0
performed,0
using,0
SPSS,0
version,0
25,0
(IBM,0
"Corp.,",0
"Armonk,",0
"NY,",0
USA).,0
Continuous,0
variables,0
are,0
presented,0
as,0
mean,0
±,0
standard,0
"deviation,",0
unless,0
indicated,0
as,0
median,0
with,0
interquartile,0
range.,0
Categorical,0
variables,0
are,0
presented,0
as,0
numbers,0
and,0
percentages.,0
We,0
calculated,0
p-values,0
using,0
t-tests,0
or,0
Wilcoxon,0
rank,0
tests,0
for,0
continuous,0
"variables,",0
as,0
"appropriate,",0
and,0
Fisher’s,I-Educational
exact,I-Educational
test,I-Educational
or,I-Educational
x2,I-Educational
test,I-Educational
for,I-Educational
categorical,I-Educational
variables.,I-Educational
To,0
investigate,0
whether,0
PBM,0
has,0
an,0
impact,0
on,0
the,0
number,0
of,0
patients,0
who,0
received,0
at,0
least,0
one,0
"RBC,",0
we,0
calculated,0
odds,0
ratios,0
(OR),0
with,0
95%,I-Educational
confidence,I-Educational
intervals,I-Educational
(CI),I-Educational
using,I-Educational
logistic,I-Educational
"regression,",I-Educational
first,0
crude,0
and,0
then,0
adjusted,0
for,0
the,0
severity,0
of,0
PPH.,0
We,0
also,0
calculated,0
the,0
association,0
of,0
known,0
risk,0
factors,0
with,0
the,0
need,0
for,0
"RBC,",0
first,0
crude,0
and,0
then,0
adjusted,0
for,0
the,0
year.,0
Statistical,0
significance,I-Educational
was,I-Educational
set,I-Educational
at,I-Educational
p,I-Educational
<,I-Educational
0.05.,I-Educational
3.,0
Results,0
"Overall,",0
499,P-Sample size
patients,P-Sample size
met,0
our,0
search,0
criteria.,0
235,0
patients,P-Sample size
had,0
a,0
PPH,P-Condition
(defined,P-Condition
as,P-Condition
a,P-Condition
blood,P-Condition
loss,P-Condition
of,P-Condition
≥500,P-Condition
mL,P-Condition
after,P-Condition
vaginal,P-Condition
delivery,P-Condition
and,P-Condition
≥1000,P-Condition
mL,P-Condition
after,P-Condition
Cesarean,P-Condition
"section),",P-Condition
59,P-Sample size
patients,0
in,0
"2011,",0
and,0
176,P-Sample size
patients,0
during,0
"2018,",0
respectively.,0
We,0
had,0
a,0
total,0
of,0
1398,P-Condition
deliveries,P-Condition
at,0
our,0
clinic,0
in,0
2011,0
and,0
2004,0
deliveries,0
in,0
"2018,",0
corresponding,0
to,0
incidences,0
of,0
PPH,0
of,0
4.2%,0
(59/1398),0
in,0
2011,0
and,0
8.7%,0
(176/2004),0
in,0
2018.,0
No,0
maternal,0
deaths,0
due,0
to,0
PPH,0
were,0
reported,0
in,0
2011,0
or,0
2018.,0
3.1.,0
Primary,0
Endpoint,0
RBC,0
administration,0
to,0
patients,0
with,0
PPH,0
differed,0
between,0
2011,0
and,0
2018,0
(Table,0
1).,0
Fewer,0
patients,0
received,0
RBC,0
in,0
"2018,",0
both,0
in,0
the,0
acute,0
(10%,P-Sample size
in,0
2018,0
vs.,0
32%,P-Sample size
in,0
"2011,",0
p,0
<,0
0.001),0
and,0
subacute,0
phases,0
(4.5%,0
in,0
2018,0
vs.,0
37%,0
in,0
"2011,",0
p,0
<,0
0.001).,0
The,0
number,0
of,0
RBC,0
units,0
transfused,0
per,0
case,0
was,0
significantly,0
lower,0
in,0
2018,0
(two,0
units,0
in,0
2018,0
vs.,0
four,0
units,0
in,0
"2011,",0
p,0
=,0
0.013.,0
Total,0
blood,0
"loss,",0
severe,0
"PPH,",0
and,0
RBC,0
transfusion,0
according,0
to,0
mode,0
of,0
delivery,0
are,0
presented,0
in,0
Table,0
2.,0
The,0
total,0
blood,P-Condition
loss,P-Condition
and,P-Condition
total,P-Condition
amount,P-Condition
of,P-Condition
cases,0
with,0
severe,0
PPH,0
were,0
significantly,0
lower,0
in,0
2018,0
compared,0
to,0
2011,0
(1000,P-Condition
mL,P-Condition
vs.,P-Condition
1500,P-Condition
"mL,",P-Condition
p,P-Condition
<,P-Condition
"0.001,",P-Condition
and,P-Condition
19%,P-Condition
vs.,P-Condition
"39%,",P-Condition
p,P-Condition
=,P-Condition
"0.005,",P-Condition
respectively).,0
Severe,0
PPH,0
and,0
RBC,0
administration,0
during,0
CS,0
were,0
significantly,0
lower,0
in,0
2018,0
compared,0
to,0
2011,0
(41%,O-Physical
vs.,O-Physical
"71%,",O-Physical
p,O-Physical
=,O-Physical
"0.024,",O-Physical
and,O-Physical
24%,O-Physical
vs.,O-Physical
"67,",O-Physical
p,O-Physical
<,O-Physical
"0.001,",O-Physical
respectively).,0
We,0
also,0
performed,0
multivariate,0
analysis,0
using,0
RBC,0
administration,0
as,0
the,0
dependent,0
variable.,0
"Overall,",0
fewer,0
patients,0
received,0
RBC,0
in,0
2018,0
than,0
in,0
2011,0
(odds,0
ratio,0
0.12;,0
p,0
<,0
0.001).,0
If,0
adjusted,0
for,0
PPH,0
severity,0
(using,0
a,0
blood,0
loss,0
of,0
≥,0
1500,0
mL,0
as,0
a,0
"cut-off),",0
the,0
effect,0
of,0
administering,0
RBC,0
more,0
restrictively,0
in,0
2018,0
was,0
even,0
slightly,0
"stronger,",0
with,0
an,0
odds,0
ratio,0
of,0
"0.09,",0
p,0
<,0
"0.001,",0
indicating,0
that,0
a,0
reduction,0
in,0
RBC,0
administration,0
was,0
most,0
notably,0
achieved,0
in,0
patients,0
suffering,0
from,0
severe,0
PPH.,0
Adjusted,0
for,0
patient,0
characteristics,0
associated,0
with,0
a,0
higher,0
risk,0
(including,0
previous,0
"PPH,",0
"preeclampsia/HELLP,",0
placental,0
"abruption,",0
placenta,0
"previa,",0
and,0
bleeding/hematoma,0
in,0
pregnancy),0
for,0
RBC,0
"transfusion,",0
the,0
risk,0
of,0
receiving,0
RBC,0
was,0
only,0
1/8,0
in,0
2018,0
as,0
compared,0
to,0
2011.,0
3.2.,0
Secondary,0
Endpoints,0
3.2.1.,0
Hemoglobin,0
Trigger,0
for,0
RBC,0
Administration,0
In,0
"addition,",0
the,0
mean,0
hemoglobin,0
trigger,0
level,0
for,0
RBC,0
administration,0
in,0
the,0
acute,0
phase,0
was,0
slightly,0
higher,0
in,0
2018,0
with,0
75,0
g/L,0
versus,0
72,0
g/L,0
in,0
"2011,",0
but,0
this,0
was,0
not,0
significant,0
(p,0
=,0
0.55).,0
On,0
the,0
other,0
"hand,",0
the,0
mean,0
hemoglobin,0
trigger,P-Condition
level,P-Condition
for,0
RBC,0
administration,0
in,0
the,0
subacute,0
phase,0
was,0
lower,0
in,0
2018,0
with,0
67,O-Physical
g/L,O-Physical
versus,0
70,O-Physical
g/L,O-Physical
in,0
"2011,",0
however,0
this,0
difference,0
was,0
not,0
significant.,0
3.2.2.,0
Administration,0
of,0
"FFP,",0
PC,0
and,0
Hemostatic,0
Products,0
The,0
use,0
of,0
hemostatic,0
blood,0
products,0
for,0
PPH,0
is,0
summarized,0
in,0
Table,0
3.,0
In,0
2011,0
compared,0
to,0
"2018,",0
platelets,0
(14%,O-Physical
vs.,O-Physical
"2.3%,",O-Physical
p,O-Physical
=,O-Physical
"0.002),",O-Physical
FFP,O-Physical
(34%,O-Physical
in,O-Physical
2011,O-Physical
vs.,O-Physical
8.0%,O-Physical
in,O-Physical
"2018,",O-Physical
p,O-Physical
<,O-Physical
"0.001),",O-Physical
PC,O-Physical
(14%,O-Physical
vs.,O-Physical
"2.3%,",O-Physical
p,O-Physical
=,O-Physical
0.002),O-Physical
and,0
NovoSeven,O-Physical
(Novo,O-Physical
"Nordisk,",O-Physical
"Bagsværd,",O-Physical
Denmark),O-Physical
(5.1%,O-Physical
vs.,O-Physical
"0.0%,",O-Physical
p,O-Physical
=,O-Physical
0.015),O-Physical
were,0
used,0
significantly,0
more,0
often.,0
Tranexamic,0
acid,I-Drug
was,0
used,0
more,0
often,0
in,0
2018,0
(70%),0
than,0
in,0
2011,0
"(58%),",0
"however,",0
this,0
difference,0
was,0
not,0
significant.,0
3.2.3.,0
Surgical,0
Treatment,0
Table,0
4,0
shows,0
the,0
surgical,0
and,0
interventional,0
treatments,0
used,0
for,0
PPH.,0
In,0
"2011,",0
additional,I-Surgical
surgeries,I-Surgical
(both,I-Surgical
acute,I-Surgical
and,I-Surgical
subacute),I-Surgical
were,I-Surgical
performed,0
more,0
frequently,0
than,0
in,0
2018;,0
"specifically,",0
hysterectomies,0
(5.1%,I-Other
vs.,I-Other
"0.0%,",I-Other
p,I-Other
=,I-Other
0.015),I-Other
and,0
interventional,0
embolizations,0
(8.5%,0
vs.,O-Physical
"1.1%,",O-Physical
p,O-Physical
=,O-Physical
0.012),O-Physical
were,0
performed,0
significantly,0
more,0
often.,0
In,0
"2018,",0
there,0
was,0
no,0
recorded,0
hysterectomy,0
as,0
a,I-Surgical
PPH,I-Surgical
treatment,I-Surgical
compared,0
to,0
the,0
three,0
cases,0
in,0
2011.,0
"However,",0
one,0
case,0
of,0
planned,0
hysterectomy,0
without,I-Psychological
PPH,I-Physical
was,I-Physical
reported,0
in,0
2018;,0
"hence,",0
it,0
was,0
not,0
included,0
in,0
our,0
analysis.,0
In,0
cases,0
of,0
acute,I-Surgical
surgery,I-Surgical
(within,0
24,0
h,0
after,0
"delivery),",0
we,0
included,0
the,0
most,0
definitive,I-Surgical
surgery,I-Surgical
for,0
each,0
case,0
in,0
the,0
final,0
analysis,0
when,0
all,0
other,0
treatment,0
options,0
were,0
exhausted.,0
For,0
"example,",0
in,0
cases,0
of,0
dilatation,P-Condition
and,P-Condition
curettage,P-Condition
(D&C),P-Condition
as,0
well,0
as,0
tamponade,P-Condition
insertion,P-Condition
performed,P-Condition
prior,P-Condition
to,P-Condition
peripartum,P-Condition
"hysterectomy,",P-Condition
we,0
only,0
recorded,0
hysterectomy,I-Surgical
as,I-Surgical
surgical,I-Surgical
treatment.,I-Surgical
For,0
subacute,I-Surgical
surgery,I-Surgical
(>24,I-Surgical
h,I-Surgical
after,I-Surgical
delivery,I-Surgical
but,I-Surgical
before,I-Surgical
hospital,I-Surgical
discharge,I-Surgical
after,I-Surgical
"delivery),",I-Surgical
we,0
only,0
depicted,0
severe,0
cases,0
that,0
were,0
treated,0
in,0
the,0
operating,0
room.,0
Table,0
5,0
summarizes,0
the,0
delivery,0
characteristics,0
and,0
peripartum,0
outcomes,O-Physical
of,0
patients.,0
In,0
"2011,",0
uterine,O-Physical
rupture,O-Physical
(5.1%,O-Physical
in,O-Physical
2011,O-Physical
vs.,O-Physical
0.0%,O-Physical
in,O-Physical
"2018,",O-Physical
p,O-Physical
=,O-Physical
0.015),O-Physical
and,O-Physical
severe,O-Physical
PPH,O-Physical
(39%,O-Physical
in,O-Physical
2011,O-Physical
vs.,O-Physical
19%,O-Physical
in,O-Physical
"2018,",O-Physical
p,O-Physical
=,O-Physical
0.005),O-Physical
occurred,0
significantly,0
more,0
often.,0
The,0
baseline,0
characteristics,0
are,0
listed,0
in,0
Table,0
6.,0
PPH,0
patients,0
in,0
2018,0
were,0
significantly,0
younger,0
(32,P-Age
+,P-Age
4.8,P-Age
years,P-Age
in,0
2018,0
vs.,0
33,P-Age
+,P-Age
4.6,P-Age
in,0
"2011,",0
p,0
=,0
"0.018),",0
had,0
significantly,0
more,0
often,0
singleton,P-Condition
pregnancies,P-Condition
(93%,0
vs.,0
"83%,",0
p,0
=,0
"0.035),",0
significantly,0
less,0
often,0
a,0
previous,0
CS,0
(8.5%,0
vs.,0
"24%,",0
p,0
=,0
"0.005),",0
and,0
significantly,0
more,0
often,0
a,0
recorded,0
IDA,I-Surgical
